"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-08 08:04:53.667735 UTC to 1980-01-08 08:04:53.667735 UTC", ... , "2080-12-16 08:19:37.190832 UTC to 2080-12-16 08:19:37.190832 UTC"], items=1339"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1990-02-16 13:07:11.293638 UTC","2447939.0466584913 JD UTC"
"1990-03-16 07:48:54.969959 UTC","2447966.8256362260 JD UTC"
"1990-04-12 20:29:41.629098 UTC","2447994.3539540404 JD UTC"
"1990-05-10 00:16:40.991215 UTC","2448021.5115855467 JD UTC"
"1990-06-06 04:02:12.254992 UTC","2448048.6681973957 JD UTC"
"1990-07-03 15:47:24.934511 UTC","2448076.1579274830 JD UTC"
"1990-07-31 08:18:41.689890 UTC","2448103.8463158550 JD UTC"
"1990-08-28 02:57:12.750918 UTC","2448131.6230642470 JD UTC"
"1990-09-24 22:13:53.390040 UTC","2448159.4263123847 JD UTC"
"1990-10-22 15:57:41.432999 UTC","2448187.1650628820 JD UTC"
"1990-11-19 02:56:15.591951 UTC","2448214.6224026848 JD UTC"
"1990-12-16 03:31:40.432668 UTC","2448241.6469957484 JD UTC"
"1991-01-12 10:56:41.331944 UTC","2448268.9560339344 JD UTC"
"1991-02-09 04:19:05.994241 UTC","2448296.6799304890 JD UTC"
"1991-03-09 00:55:29.815620 UTC","2448324.5385395326 JD UTC"
"1991-04-05 21:05:58.247187 UTC","2448352.3791463794 JD UTC"
"1991-05-03 14:36:44.991660 UTC","2448380.1088540703 JD UTC"
"1991-05-31 02:52:05.503717 UTC","2448407.6195081450 JD UTC"
"1991-06-27 07:21:52.797573 UTC","2448434.8068610830 JD UTC"
"1991-07-24 11:09:49.004256 UTC","2448461.9651505123 JD UTC"
"1991-08-20 22:32:05.077293 UTC","2448489.4389476540 JD UTC"
"1991-09-17 15:21:50.154413 UTC","2448517.1401638244 JD UTC"
"1991-10-15 11:00:45.700170 UTC","2448544.9588622707 JD UTC"
"1991-11-12 07:31:10.995005 UTC","2448572.8133217013 JD UTC"
"1991-12-10 01:49:59.186339 UTC","2448600.5763794715 JD UTC"
"1992-01-06 11:39:57.847255 UTC","2448627.9860861950 JD UTC"
"1992-02-02 11:48:59.162671 UTC","2448654.9923514198 JD UTC"
"1992-02-29 20:52:31.047882 UTC","2448682.3698037950 JD UTC"
"1992-03-28 14:14:39.116844 UTC","2448710.0935082966 JD UTC"
"1992-04-25 09:47:55.914534 UTC","2448737.9082860476 JD UTC"
"1992-05-23 04:52:04.045993 UTC","2448765.7028246066 JD UTC"
"1992-06-19 21:54:49.538163 UTC","2448793.4130733586 JD UTC"
"1992-07-17 10:37:08.725750 UTC","2448820.9424621034 JD UTC"
"1992-08-13 15:37:20.800982 UTC","2448848.1509351963 JD UTC"
"1992-09-09 18:35:55.446113 UTC","2448875.2749472930 JD UTC"
"1992-10-07 05:45:40.196351 UTC","2448902.7400485687 JD UTC"
"1992-11-03 23:25:14.836001 UTC","2448930.4758661576 JD UTC"
