"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-09 11:24:52.126002 UTC to 1980-01-09 11:24:52.126002 UTC", ... , "2080-12-19 14:06:26.309514 UTC to 2080-12-19 14:06:26.309514 UTC"], items=2700"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1988-08-01 13:29:23.675421 UTC","2447375.0620795770 JD UTC"
"1988-08-15 16:13:43.677096 UTC","2447389.1761999666 JD UTC"
"1988-08-28 23:02:50.974767 UTC","2447402.4603122080 JD UTC"
"1988-09-11 22:12:47.377123 UTC","2447416.4255483462 JD UTC"
"1988-09-25 10:06:05.165909 UTC","2447429.9208931240 JD UTC"
"1988-10-09 04:26:11.356075 UTC","2447443.6848536580 JD UTC"
"1988-10-22 20:21:48.826486 UTC","2447457.3484817880 JD UTC"
"1988-11-05 11:02:31.274084 UTC","2447470.9600841906 JD UTC"
"1988-11-19 03:52:44.927710 UTC","2447484.6616311080 JD UTC"
"1988-12-02 17:58:48.625922 UTC","2447498.2491739113 JD UTC"
"1988-12-16 08:45:46.695490 UTC","2447511.8651237900 JD UTC"
"1988-12-30 01:07:59.975159 UTC","2447525.5472219350 JD UTC"
"1989-01-12 13:39:01.208009 UTC","2447539.0687639816 JD UTC"
"1989-01-26 08:19:41.536062 UTC","2447552.8470085193 JD UTC"
"1989-02-08 21:16:14.031135 UTC","2447566.3862735084 JD UTC"
"1989-02-22 15:15:19.778311 UTC","2447580.1356455823 JD UTC"
"1989-03-08 07:45:42.608194 UTC","2447593.8234098170 JD UTC"
"1989-03-21 21:38:13.718514 UTC","2447607.4015476680 JD UTC"
"1989-04-04 18:57:09.401461 UTC","2447621.2896921467 JD UTC"
"1989-04-18 03:32:41.661670 UTC","2447634.6477044174 JD UTC"
"1989-05-02 04:23:04.537781 UTC","2447648.6826914097 JD UTC"
"1989-05-15 09:27:24.418146 UTC","2447661.8940326176 JD UTC"
"1989-05-29 11:00:26.314507 UTC","2447675.9586378993 JD UTC"
"1989-06-11 15:56:16.441580 UTC","2447689.1640791850 JD UTC"
"1989-06-25 15:48:09.496147 UTC","2447703.1584432423 JD UTC"
"1989-07-08 23:11:21.721879 UTC","2447716.4662236330 JD UTC"
"1989-07-22 21:01:04.161649 UTC","2447730.3757426115 JD UTC"
"1989-08-05 06:50:52.111782 UTC","2447743.7853253680 JD UTC"
"1989-08-19 04:29:07.416058 UTC","2447757.6868913895 JD UTC"
"1989-09-01 14:12:12.333347 UTC","2447771.0918094140 JD UTC"
"1989-09-15 14:24:40.704053 UTC","2447785.1004711120 JD UTC"
"1989-09-28 20:39:38.768431 UTC","2447798.3608653755 JD UTC"
"1989-10-13 01:19:36.933113 UTC","2447812.5552885780 JD UTC"
"1989-10-26 02:11:44.430673 UTC","2447825.5914864660 JD UTC"
"1989-11-09 10:57:13.892879 UTC","2447839.9564107973 JD UTC"
"1989-11-22 07:35:41.649118 UTC","2447852.8164542723 JD UTC"
"1989-12-06 17:46:42.002531 UTC","2447867.2407639180 JD UTC"
"1989-12-19 14:05:25.853032 UTC","2447880.0871047806 JD UTC"
"1990-01-02 22:37:25.325864 UTC","2447894.4426542344 JD UTC"
"1990-01-15 22:14:28.925039 UTC","2447907.4267236693 JD UTC"
"1990-01-30 04:10:54.132002 UTC","2447921.6742376387 JD UTC"
"1990-02-12 07:10:04.333254 UTC","2447934.7986612646 JD UTC"
"1990-02-26 12:18:46.140429 UTC","2447949.0130340327 JD UTC"
"1990-03-11 15:15:31.628923 UTC","2447962.1357827420 JD UTC"
"1990-03-25 22:29:24.880119 UTC","2447976.4370935200 JD UTC"
"1990-04-07 21:34:31.568349 UTC","2447989.3989764857 JD UTC"
"1990-04-22 08:42:32.643535 UTC","2448003.8628778188 JD UTC"
"1990-05-05 02:36:17.803804 UTC","2448016.6085393960 JD UTC"
"1990-05-19 17:09:27.873860 UTC","2448031.2149059474 JD UTC"
"1990-06-01 07:52:12.343138 UTC","2448043.8279206380 JD UTC"
"1990-06-15 23:23:01.866415 UTC","2448058.4743271577 JD UTC"
"1990-06-28 14:42:54.806571 UTC","2448071.1131343353 JD UTC"
"1990-07-13 04:29:17.816905 UTC","2448085.6870117695 JD UTC"
"1990-07-25 23:17:09.179874 UTC","2448098.4702451373 JD UTC"
"1990-08-09 10:15:36.279598 UTC","2448112.9275032360 JD UTC"
"1990-08-22 08:30:36.062072 UTC","2448125.8545840518 JD UTC"
"1990-09-05 17:54:52.440332 UTC","2448140.2464402816 JD UTC"
"1990-09-18 16:50:49.399699 UTC","2448153.2019606447 JD UTC"
"1990-10-03 03:20:58.203375 UTC","2448167.6395625393 JD UTC"
"1990-10-15 23:15:15.925001 UTC","2448180.4689343170 JD UTC"
"1990-10-30 13:12:56.637892 UTC","2448195.0506555310 JD UTC"
"1990-11-12 04:04:45.265453 UTC","2448207.6699683503 JD UTC"
"1990-11-26 21:44:59.284287 UTC","2448222.4062417164 JD UTC"
"1990-12-09 09:14:35.827192 UTC","2448234.8851368890 JD UTC"
"1990-12-24 04:10:27.080050 UTC","2448249.6739245380 JD UTC"
"1991-01-05 16:47:08.732424 UTC","2448262.1994066252 JD UTC"
"1991-01-20 09:33:03.891554 UTC","2448276.8979617080 JD UTC"
"1991-02-02 02:45:53.164867 UTC","2448289.6151986676 JD UTC"
"1991-02-16 15:44:56.235478 UTC","2448304.1562064290 JD UTC"
"1991-03-01 13:08:51.312912 UTC","2448317.0478161215 JD UTC"
"1991-03-15 23:37:44.808327 UTC","2448331.4845463927 JD UTC"
"1991-03-28 21:40:32.598984 UTC","2448344.4031550810 JD UTC"
"1991-04-12 08:35:06.773495 UTC","2448358.8577172860 JD UTC"
"1991-04-25 03:37:43.461091 UTC","2448371.6511974665 JD UTC"
"1991-05-09 17:21:03.332294 UTC","2448386.2229552350 JD UTC"
"1991-05-22 08:17:26.779489 UTC","2448398.8454488367 JD UTC"
"1991-06-06 00:58:08.338675 UTC","2448413.5403742900 JD UTC"
"1991-06-18 13:53:28.363290 UTC","2448426.0788005010 JD UTC"
"1991-07-03 07:19:42.433919 UTC","2448440.8053522445 JD UTC"
"1991-07-15 21:50:16.374199 UTC","2448453.4099117382 JD UTC"
"1991-07-30 13:06:49.976102 UTC","2448468.0464117606 JD UTC"
"1991-08-12 07:48:10.352905 UTC","2448480.8251198250 JD UTC"
"1991-08-26 19:17:59.431208 UTC","2448495.3041600836 JD UTC"
"1991-09-08 18:07:58.377371 UTC","2448508.2555367750 JD UTC"
"1991-09-23 02:32:24.396128 UTC","2448522.6058379184 JD UTC"
"1991-10-06 02:53:25.789809 UTC","2448535.6204373823 JD UTC"
"1991-10-20 10:46:31.101332 UTC","2448549.9489710800 JD UTC"
"1991-11-02 09:05:21.242969 UTC","2448562.8787180900 JD UTC"
"1991-11-16 19:15:25.657899 UTC","2448577.3023802997 JD UTC"
"1991-11-29 13:46:18.756861 UTC","2448590.0738282045 JD UTC"
"1991-12-14 03:04:25.448176 UTC","2448604.6280723168 JD UTC"
"1991-12-26 19:38:37.647255 UTC","2448617.3184912875 JD UTC"
"1992-01-10 09:53:05.406728 UTC","2448631.9118681336 JD UTC"
"1992-01-23 04:35:56.635592 UTC","2448644.6916277270 JD UTC"
"1992-02-06 16:08:05.318469 UTC","2448659.1722837784 JD UTC"
"1992-02-19 15:49:31.721009 UTC","2448672.1593949190 JD UTC"
"1992-03-04 22:31:20.392604 UTC","2448686.4384304700 JD UTC"
"1992-03-18 02:44:31.915776 UTC","2448699.6142582840 JD UTC"
"1992-04-01 05:26:42.147711 UTC","2448713.7268767096 JD UTC"
"1992-04-14 11:12:34.679595 UTC","2448726.9670680510 JD UTC"
"1992-04-28 12:53:49.179103 UTC","2448741.0373747580 JD UTC"
"1992-05-11 17:01:45.791125 UTC","2448754.2095577675 JD UTC"
"1992-05-25 20:36:40.891039 UTC","2448768.3588066090 JD UTC"
"1992-06-07 21:57:38.815000 UTC","2448781.4150325810 JD UTC"
