"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-16 12:53:35.827291 UTC to 1980-01-16 12:53:35.827291 UTC", ... , "2080-12-12 02:02:34.751115 UTC to 2080-12-12 02:02:34.751115 UTC"], items=1350"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1992-08-08 05:04:43.739114 UTC","2448842.7116173510 JD UTC"
"1992-09-04 11:36:42.163494 UTC","2448869.9838213366 JD UTC"
"1992-10-01 19:17:27.331154 UTC","2448897.3037885550 JD UTC"
"1992-10-29 04:03:07.893440 UTC","2448924.6688413590 JD UTC"
"1992-11-25 13:04:21.628946 UTC","2448952.0446947794 JD UTC"
"1992-12-22 21:13:16.170012 UTC","2448979.3842149307 JD UTC"
"1993-01-19 03:55:36.388581 UTC","2449006.6636156086 JD UTC"
"1993-02-15 09:51:27.947284 UTC","2449033.9107401306 JD UTC"
"1993-03-14 16:29:35.237900 UTC","2449061.1872134020 JD UTC"
"1993-04-11 00:44:33.004815 UTC","2449088.5309375557 JD UTC"
"1993-05-08 10:12:10.931768 UTC","2449115.9251265250 JD UTC"
"1993-06-04 19:39:52.070551 UTC","2449143.3193526682 JD UTC"
"1993-07-02 03:59:37.122715 UTC","2449170.6664018830 JD UTC"
"1993-07-29 10:46:46.314998 UTC","2449197.9491471644 JD UTC"
"1993-08-25 16:37:37.333354 UTC","2449225.1927932100 JD UTC"
"1993-09-21 22:56:37.419008 UTC","2449252.4559886460 JD UTC"
"1993-10-19 07:03:23.966101 UTC","2449279.7940273853 JD UTC"
"1993-11-15 17:07:27.656780 UTC","2449307.2135145460 JD UTC"
"1993-12-13 03:48:10.565749 UTC","2449334.6584556220 JD UTC"
"1994-01-09 13:07:25.471857 UTC","2449362.0468225908 JD UTC"
"1994-02-05 20:06:02.651279 UTC","2449389.3375306860 JD UTC"
"1994-03-05 01:46:26.702949 UTC","2449416.5739201730 JD UTC"
"1994-04-01 08:21:16.792306 UTC","2449443.8481110223 JD UTC"
"1994-04-28 17:10:11.526728 UTC","2449471.2154111890 JD UTC"
"1994-05-26 03:44:12.771527 UTC","2449498.6557033740 JD UTC"
"1994-06-22 14:26:28.848155 UTC","2449526.1017227797 JD UTC"
"1994-07-19 23:39:26.100643 UTC","2449553.4857187574 JD UTC"
"1994-08-16 06:40:08.995644 UTC","2449580.7778818943 JD UTC"
"1994-09-12 12:15:29.397741 UTC","2449608.0107569180 JD UTC"
"1994-10-09 18:28:47.944592 UTC","2449635.2699993590 JD UTC"
"1994-11-06 03:13:30.387067 UTC","2449662.6343794800 JD UTC"
"1994-12-03 14:33:22.833240 UTC","2449690.1065142737 JD UTC"
"1994-12-31 02:28:34.875639 UTC","2449717.6031814310 JD UTC"
"1995-01-27 12:24:27.012917 UTC","2449745.0169793162 JD UTC"
"1995-02-23 19:18:48.545017 UTC","2449772.3047285303 JD UTC"
"1995-03-23 00:43:58.947139 UTC","2449799.5305433697 JD UTC"
"1995-04-19 07:22:39.733203 UTC","2449826.8074043193 JD UTC"
"1995-05-16 16:41:18.833248 UTC","2449854.1953568663 JD UTC"
"1995-06-13 04:00:38.339516 UTC","2449881.6671104110 JD UTC"
"1995-07-10 15:27:06.073560 UTC","2449909.1438202960 JD UTC"
"1995-08-07 01:05:45.866839 UTC","2449936.5456697550 JD UTC"
"1995-09-03 08:05:55.719074 UTC","2449963.8374504520 JD UTC"
"1995-09-30 13:29:37.273943 UTC","2449991.0622369670 JD UTC"
"1995-10-27 19:49:44.053136 UTC","2450018.3262043186 JD UTC"
"1995-11-24 05:10:33.189573 UTC","2450045.7156619164 JD UTC"
"1995-12-21 17:15:25.548346 UTC","2450073.2190456986 JD UTC"
"1996-01-18 05:36:20.507283 UTC","2450100.7335706860 JD UTC"
"1996-02-14 15:29:45.103992 UTC","2450128.1456609257 JD UTC"
"1996-03-12 22:10:49.477370 UTC","2450155.4241837660 JD UTC"
"1996-04-09 03:34:29.221722 UTC","2450182.6489493256 JD UTC"
"1996-05-06 10:25:10.434482 UTC","2450209.9341485472 JD UTC"
"1996-06-02 19:57:12.705710 UTC","2450237.3313970570 JD UTC"
"1996-06-30 07:24:22.619629 UTC","2450264.8085951344 JD UTC"
"1996-07-27 18:52:14.341670 UTC","2450292.2862771030 JD UTC"
"1996-08-24 04:25:57.928044 UTC","2450319.6846982413 JD UTC"
"1996-09-20 11:20:00.097793 UTC","2450346.9722233540 JD UTC"
"1996-10-17 16:48:54.589556 UTC","2450374.2006318234 JD UTC"
"1996-11-13 23:29:18.524688 UTC","2450401.4786866284 JD UTC"
"1996-12-11 09:07:38.113033 UTC","2450428.8803022340 JD UTC"
"1997-01-07 21:05:31.548155 UTC","2450456.3788373630 JD UTC"
"1997-02-04 08:53:44.401140 UTC","2450483.8706527910 JD UTC"
"1997-03-03 18:12:48.594695 UTC","2450511.2588957720 JD UTC"
"1997-03-31 00:46:45.642423 UTC","2450538.5324727134 JD UTC"
"1997-04-27 06:29:26.435082 UTC","2450565.7704448504 JD UTC"
"1997-05-24 13:34:17.684061 UTC","2450593.0654824544 JD UTC"
"1997-06-20 22:52:59.925678 UTC","2450620.4534713620 JD UTC"
"1997-07-18 09:42:41.853948 UTC","2450647.9046510872 JD UTC"
"1997-08-14 20:26:37.873126 UTC","2450675.3518272354 JD UTC"
"1997-09-11 05:29:54.767018 UTC","2450702.7291061000 JD UTC"
"1997-10-08 12:22:44.830057 UTC","2450730.0157966440 JD UTC"
"1997-11-04 18:17:23.749156 UTC","2450757.2620804300 JD UTC"
"1997-12-02 01:20:07.643054 UTC","2450784.5556440167 JD UTC"
"1997-12-29 10:40:51.042625 UTC","2450811.9450352155 JD UTC"
"1998-01-25 21:33:47.075223 UTC","2450839.3984615190 JD UTC"
"1998-02-22 08:01:37.237577 UTC","2450866.8344587684 JD UTC"
"1998-03-21 16:34:16.775833 UTC","2450894.1904719425 JD UTC"
"1998-04-17 23:17:14.179713 UTC","2450921.4703030060 JD UTC"
"1998-05-15 05:32:05.336497 UTC","2450948.7306173206 JD UTC"
"1998-06-11 12:41:21.422384 UTC","2450976.0287201665 JD UTC"
"1998-07-08 21:15:29.497091 UTC","2451003.3857580684 JD UTC"
"1998-08-05 06:47:26.279942 UTC","2451030.7829430550 JD UTC"
"1998-09-01 16:15:20.905816 UTC","2451058.1773252990 JD UTC"
"1998-09-29 00:39:36.826781 UTC","2451085.5275095690 JD UTC"
"1998-10-26 07:44:29.711773 UTC","2451112.8225661083 JD UTC"
"1998-11-22 14:15:49.081562 UTC","2451140.0943180737 JD UTC"
