"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-26 11:42:03.714172 UTC to 1980-01-26 11:42:03.714172 UTC", ... , "2080-12-12 01:39:30.015470 UTC to 2080-12-12 01:39:30.015470 UTC"], items=1355"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1992-09-25 21:36:26.437354 UTC","2448891.4003059880 JD UTC"
"1992-10-23 03:34:18.152370 UTC","2448918.6488212080 JD UTC"
"1992-11-19 08:30:24.361066 UTC","2448945.8544486235 JD UTC"
"1992-12-16 13:01:55.710589 UTC","2448973.0430059100 JD UTC"
"1993-01-12 18:17:08.961577 UTC","2449000.2619092776 JD UTC"
"1993-02-09 00:49:21.714644 UTC","2449027.5342791050 JD UTC"
"1993-03-08 08:06:21.309453 UTC","2449054.8377466374 JD UTC"
"1993-04-04 15:11:52.468451 UTC","2449082.1332461624 JD UTC"
"1993-05-01 21:24:38.822413 UTC","2449109.3921160000 JD UTC"
"1993-05-29 02:35:15.479675 UTC","2449136.6078180517 JD UTC"
"1993-06-25 07:11:31.476476 UTC","2449163.7996698665 JD UTC"
"1993-07-22 12:00:40.391887 UTC","2449191.0004674990 JD UTC"
"1993-08-18 17:40:59.227534 UTC","2449218.2367966150 JD UTC"
"1993-09-15 00:23:58.839023 UTC","2449245.5166532295 JD UTC"
"1993-10-12 07:41:38.887228 UTC","2449272.8205889724 JD UTC"
"1993-11-08 14:26:55.546910 UTC","2449300.1020317930 JD UTC"
"1993-12-05 19:42:29.178096 UTC","2449327.3211710430 JD UTC"
"1994-01-01 23:46:43.953710 UTC","2449354.4907865010 JD UTC"
"1994-01-29 04:02:56.447721 UTC","2449381.6687088856 JD UTC"
"1994-02-25 09:41:12.399520 UTC","2449408.9036157350 JD UTC"
"1994-03-24 16:45:13.687707 UTC","2449436.1980750890 JD UTC"
"1994-04-21 00:10:15.588143 UTC","2449463.5071248626 JD UTC"
"1994-05-18 06:30:16.161408 UTC","2449490.7710203870 JD UTC"
"1994-06-14 11:02:42.946561 UTC","2449517.9602192887 JD UTC"
"1994-07-11 14:18:54.471317 UTC","2449545.0964637883 JD UTC"
"1994-08-07 17:43:57.533141 UTC","2449572.2388603370 JD UTC"
"1994-09-03 22:42:32.549167 UTC","2449599.4462100600 JD UTC"
"1994-10-01 05:34:43.035994 UTC","2449626.7324425460 JD UTC"
"1994-10-28 13:05:00.533536 UTC","2449654.0451450640 JD UTC"
"1994-11-24 19:10:32.137442 UTC","2449681.2989830724 JD UTC"
"1994-12-21 22:48:10.838211 UTC","2449708.4501254424 JD UTC"
"1995-01-18 01:00:52.815530 UTC","2449735.5422779573 JD UTC"
"1995-02-14 04:04:49.018688 UTC","2449762.6700117905 JD UTC"
"1995-03-13 09:28:19.337585 UTC","2449789.8946682590 JD UTC"
"1995-04-09 16:37:34.139325 UTC","2449817.1927562420 JD UTC"
"1995-05-06 23:32:40.572138 UTC","2449844.4810251403 JD UTC"
"1995-06-03 04:25:31.340945 UTC","2449871.6843905200 JD UTC"
"1995-06-30 06:57:23.462616 UTC","2449898.7898548916 JD UTC"
"1995-07-27 08:33:11.838303 UTC","2449925.8563870173 JD UTC"
"1995-08-23 11:22:36.993331 UTC","2449952.9740392747 JD UTC"
"1995-09-19 16:41:07.811798 UTC","2449980.1952293030 JD UTC"
"1995-10-16 23:46:26.399295 UTC","2450007.4905833253 JD UTC"
"1995-11-13 06:24:39.470350 UTC","2450034.7671234994 JD UTC"
"1995-12-10 10:33:10.623632 UTC","2450061.9397062920 JD UTC"
"1996-01-06 12:10:06.519849 UTC","2450089.0070199060 JD UTC"
"1996-02-02 13:27:54.070620 UTC","2450116.0610424840 JD UTC"
"1996-02-29 16:55:27.157495 UTC","2450143.2051754340 JD UTC"
"1996-03-27 23:03:42.437520 UTC","2450170.4609078416 JD UTC"
"1996-04-24 06:10:48.249481 UTC","2450197.7575028874 JD UTC"
"1996-05-21 11:56:19.867942 UTC","2450224.9974521752 JD UTC"
"1996-06-17 15:08:35.514594 UTC","2450252.1309666040 JD UTC"
"1996-07-14 16:34:52.639787 UTC","2450279.1908870344 JD UTC"
"1996-08-10 18:24:08.427631 UTC","2450306.2667642087 JD UTC"
"1996-09-06 22:27:21.502892 UTC","2450333.4356655427 JD UTC"
"1996-10-04 04:54:19.994593 UTC","2450360.7043980854 JD UTC"
"1996-10-31 12:06:15.683555 UTC","2450388.0043481890 JD UTC"
"1996-11-27 17:46:23.426814 UTC","2450415.2405489213 JD UTC"
"1996-12-24 20:49:57.224911 UTC","2450442.3680234365 JD UTC"
"1997-01-20 22:29:14.873654 UTC","2450469.4369777045 JD UTC"
"1997-02-17 01:14:05.886908 UTC","2450496.5514570240 JD UTC"
"1997-03-16 06:35:35.111135 UTC","2450523.7747119344 JD UTC"
"1997-04-12 13:50:19.303296 UTC","2450551.0766123068 JD UTC"
"1997-05-09 20:50:36.593226 UTC","2450578.3684790884 JD UTC"
"1997-06-06 01:55:17.993775 UTC","2450605.5800693724 JD UTC"
"1997-07-03 05:01:52.065464 UTC","2450632.7096303874 JD UTC"
"1997-07-30 07:36:14.924506 UTC","2450659.8168394040 JD UTC"
"1997-08-26 11:23:41.015032 UTC","2450686.9747802666 JD UTC"
"1997-09-22 17:16:30.422526 UTC","2450714.2197965570 JD UTC"
"1997-10-20 00:38:48.035843 UTC","2450741.5269448594 JD UTC"
"1997-11-16 07:50:04.794033 UTC","2450768.8264443753 JD UTC"
"1997-12-13 13:21:41.575822 UTC","2450796.0567312017 JD UTC"
"1998-01-09 17:09:35.365619 UTC","2450823.2149926580 JD UTC"
"1998-02-05 20:37:27.420216 UTC","2450850.3593451413 JD UTC"
"1998-03-05 01:26:49.586828 UTC","2450877.5602961440 JD UTC"
"1998-04-01 08:06:29.174750 UTC","2450904.8378376710 JD UTC"
"1998-04-28 15:32:02.458992 UTC","2450932.1472506826 JD UTC"
"1998-05-25 22:16:41.911289 UTC","2450959.4282628620 JD UTC"
