"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-20 01:53:12.959537 UTC to 1980-01-20 01:53:12.959537 UTC", ... , "2080-12-28 06:49:43.458973 UTC to 2080-12-28 06:49:43.458973 UTC"], items=1339"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1993-04-05 19:29:18.609577 UTC","2449083.3120209440 JD UTC"
"1993-05-04 00:11:51.730253 UTC","2449111.5082376185 JD UTC"
"1993-05-31 11:09:50.620177 UTC","2449138.9651692150 JD UTC"
"1993-06-25 17:26:25.642099 UTC","2449164.2266856725 JD UTC"
"1993-07-22 08:27:43.459643 UTC","2449190.8525863383 JD UTC"
"1993-08-19 06:52:03.949075 UTC","2449218.7861568180 JD UTC"
"1993-09-16 14:40:13.548079 UTC","2449247.1112679180 JD UTC"
"1993-10-15 01:46:44.109201 UTC","2449275.5741216345 JD UTC"
"1993-11-12 12:00:32.977972 UTC","2449304.0003816895 JD UTC"
"1993-12-10 14:06:36.835471 UTC","2449332.0879263366 JD UTC"
"1994-01-06 01:15:30.794722 UTC","2449358.5524397540 JD UTC"
"1994-01-31 03:43:29.517466 UTC","2449383.6552027483 JD UTC"
"1994-02-27 22:08:17.233063 UTC","2449411.4224216790 JD UTC"
"1994-03-28 06:12:52.218824 UTC","2449439.7589377180 JD UTC"
"1994-04-25 17:16:44.443255 UTC","2449468.2199588340 JD UTC"
"1994-05-24 02:54:55.163556 UTC","2449496.6214718004 JD UTC"
"1994-06-21 06:42:52.790573 UTC","2449524.7797776690 JD UTC"
"1994-07-18 17:30:42.607605 UTC","2449552.2296598100 JD UTC"
"1994-08-12 23:09:56.938437 UTC","2449577.4652423430 JD UTC"
"1994-09-08 14:23:37.728180 UTC","2449604.0997422244 JD UTC"
"1994-10-06 14:05:28.992108 UTC","2449632.0871411124 JD UTC"
"1994-11-03 23:38:56.633968 UTC","2449660.4853777080 JD UTC"
"1994-12-02 12:18:41.084198 UTC","2449689.0129755116 JD UTC"
"1994-12-30 23:03:41.080055 UTC","2449717.4608921300 JD UTC"
"1995-01-27 23:26:07.639695 UTC","2449745.4764773115 JD UTC"
"1995-02-23 02:09:38.638906 UTC","2449771.5900305430 JD UTC"
"1995-03-20 13:11:50.211968 UTC","2449797.0498867130 JD UTC"
"1995-04-17 08:18:07.926143 UTC","2449824.8459250713 JD UTC"
"1995-05-15 15:16:37.220220 UTC","2449853.1365419007 JD UTC"
"1995-06-13 01:06:40.701694 UTC","2449881.5463044180 JD UTC"
"1995-07-11 10:00:12.280037 UTC","2449909.9168087966 JD UTC"
"1995-08-08 13:51:58.871282 UTC","2449938.0777647140 JD UTC"
"1995-09-05 01:15:30.223499 UTC","2449965.5524331424 JD UTC"
"1995-09-30 03:35:48.583044 UTC","2449990.6498678590 JD UTC"
"1995-10-26 21:01:09.843914 UTC","2450017.3758083787 JD UTC"
"1995-11-23 23:00:24.440952 UTC","2450045.4586162150 JD UTC"
"1995-12-22 10:05:35.342616 UTC","2450073.9205479470 JD UTC"
"1996-01-19 23:06:11.263126 UTC","2450102.4626303604 JD UTC"
"1996-02-17 08:41:13.411578 UTC","2450130.8619607820 JD UTC"
"1996-03-16 05:46:53.093514 UTC","2450158.7408922860 JD UTC"
"1996-04-11 02:48:06.440954 UTC","2450184.6167412150 JD UTC"
"1996-05-06 21:44:12.922085 UTC","2450210.4057051167 JD UTC"
"1996-06-03 16:16:08.818666 UTC","2450238.1778798457 JD UTC"
"1996-07-01 22:10:46.619900 UTC","2450266.4241506930 JD UTC"
"1996-07-30 07:34:45.730736 UTC","2450294.8158070687 JD UTC"
"1996-08-27 16:53:07.365502 UTC","2450323.2035574713 JD UTC"
"1996-09-24 21:42:53.317600 UTC","2450351.4047837686 JD UTC"
"1996-10-22 08:44:41.066741 UTC","2450378.8643641984 JD UTC"
