"Time Conversion Calculation"
"Calculation Inputs"
"Calculation type","Time Conversion"
"Time system","UTC"
"Time format","Calendar date and time"
"Time windows","["1980-01-13 18:38:11.018429 UTC to 1980-01-13 18:38:11.018429 UTC", ... , "2080-12-26 05:05:01.003099 UTC to 2080-12-26 05:05:01.003099 UTC"], items=1356"
"Step","1 hours"
"Output time system","UTC"
"Time Conversion Results"
"UTC calendar date","UTC Julian date"
"1999-01-12 10:59:21.926543 UTC","2451190.9578926684 JD UTC"
"1999-02-08 17:49:07.714477 UTC","2451218.2424503990 JD UTC"
"1999-03-08 00:45:13.724855 UTC","2451245.5314088524 JD UTC"
"1999-04-04 05:31:59.428856 UTC","2451272.7305489453 JD UTC"
"1999-05-01 07:43:13.140679 UTC","2451299.8216798690 JD UTC"
"1999-05-28 08:59:27.733235 UTC","2451326.8746265420 JD UTC"
"1999-06-24 11:40:25.364581 UTC","2451353.9864046825 JD UTC"
"1999-07-21 16:53:00.868943 UTC","2451381.2034822796 JD UTC"
"1999-08-17 23:49:01.019047 UTC","2451408.4923729060 JD UTC"
"1999-09-14 06:26:01.661832 UTC","2451435.7680747896 JD UTC"
"1999-10-11 10:53:33.919245 UTC","2451462.9538648060 JD UTC"
"1999-11-07 12:59:39.577035 UTC","2451490.0414302900 JD UTC"
"1999-12-04 14:32:27.560282 UTC","2451517.1058745403 JD UTC"
"1999-12-31 17:55:57.848481 UTC","2451544.2471973200 JD UTC"
"2000-01-28 00:05:02.547066 UTC","2451571.5035017020 JD UTC"
"2000-02-24 07:35:52.490146 UTC","2451598.8165797470 JD UTC"
"2000-03-22 14:02:02.701332 UTC","2451626.0847534877 JD UTC"
"2000-04-18 18:03:32.606077 UTC","2451653.2524607186 JD UTC"
"2000-05-15 20:26:57.652947 UTC","2451680.3520561685 JD UTC"
"2000-06-11 23:12:07.197518 UTC","2451707.4667499713 JD UTC"
"2000-07-09 03:51:31.915862 UTC","2451734.6607860634 JD UTC"
"2000-08-05 10:29:01.564436 UTC","2451761.9368236624 JD UTC"
"2000-09-01 17:46:56.933656 UTC","2451789.2409367320 JD UTC"
"2000-09-29 00:04:28.122576 UTC","2451816.5031032707 JD UTC"
"2000-10-26 04:29:44.252060 UTC","2451843.6873177323 JD UTC"
"2000-11-22 07:38:45.263089 UTC","2451870.8185794340 JD UTC"
"2000-12-19 11:11:48.986574 UTC","2451897.9665391967 JD UTC"
"2001-01-15 16:39:11.066747 UTC","2451925.1938780870 JD UTC"
"2001-02-11 23:58:17.364547 UTC","2451952.4988120897 JD UTC"
"2001-03-11 07:32:50.958911 UTC","2451979.8144786910 JD UTC"
"2001-04-07 13:48:26.714945 UTC","2452007.0753092007 JD UTC"
"2001-05-04 18:29:01.484875 UTC","2452034.2701560750 JD UTC"
"2001-05-31 22:28:22.748800 UTC","2452061.4363744073 JD UTC"
"2001-06-28 02:59:08.695954 UTC","2452088.6244062030 JD UTC"
"2001-07-25 08:44:23.740190 UTC","2452115.8641636595 JD UTC"
"2001-08-21 15:34:12.718453 UTC","2452143.1487583155 JD UTC"
"2001-09-17 22:40:28.370342 UTC","2452170.4447728050 JD UTC"
"2001-10-15 05:12:28.131546 UTC","2452197.7169922630 JD UTC"
"2001-11-11 10:42:03.408070 UTC","2452224.9458727785 JD UTC"
"2001-12-08 15:19:57.365900 UTC","2452252.1388584017 JD UTC"
"2002-01-04 20:04:16.751500 UTC","2452279.3363049943 JD UTC"
"2002-02-01 01:55:40.475742 UTC","2452306.5803295800 JD UTC"
"2002-02-28 08:54:20.863072 UTC","2452333.8710748040 JD UTC"
"2002-03-27 16:11:11.511273 UTC","2452361.1744387880 JD UTC"
"2002-04-23 22:55:24.467716 UTC","2452388.4551443025 JD UTC"
"2002-05-21 04:38:49.323786 UTC","2452415.6936264327 JD UTC"
"2002-06-17 09:28:20.397093 UTC","2452442.8946805220 JD UTC"
"2002-07-14 14:03:24.487561 UTC","2452470.0857000877 JD UTC"
